display(log)
check(C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/model.txt)
model is syntactically correct
data(C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/data.txt)
data loaded
compile(3)
model compiled
inits(1,C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/inits1.txt)
this chain contains uninitialized variables
inits(2,C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/inits2.txt)
this chain contains uninitialized variables
inits(3,C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/inits3.txt)
this chain contains uninitialized variables
gen.inits()
initial values generated, model initialized
thin.updater(250)
update(1)
set(alpha)
set(b.male)
set(b.student)
set(b.IMD)
set(tau.age)
set(tau.ethngrp)
set(tau.ons)
set(tau.conception)
set(tau.gor)
set(tau.la)
set(tau.met)
set(v)
set(w)
set(u)
set(d)
set(h)
set(r)
set(g)
set(deviance)
dic.set()
update(400)
coda(*,C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	g[83]	0.01888	0.07355	0.002091	-0.1174	0.01157	0.1852	2	1200
	g[84]	-4.324E-4	0.08202	0.002168	-0.1681	-0.001059	0.1794	2	1200
	g[85]	0.01811	0.07586	0.002076	-0.1246	0.01235	0.1862	2	1200
	g[86]	-0.0181	0.08325	0.002592	-0.2348	-0.006919	0.129	2	1200
	g[87]	-0.00529	0.08146	0.002712	-0.2002	-0.00246	0.1688	2	1200
	g[88]	-9.52E-4	0.07948	0.002273	-0.1761	-8.342E-4	0.1643	2	1200
	g[89]	0.004973	0.08206	0.002395	-0.1527	0.002862	0.1945	2	1200
	g[90]	0.004581	0.08049	0.002604	-0.1472	0.001553	0.1695	2	1200
	h[1]	0.03382	0.08283	0.002623	-0.1193	0.02524	0.2261	2	1200
	h[2]	-0.01835	0.07591	0.001997	-0.1844	-0.01034	0.1246	2	1200
	h[3]	0.0177	0.07716	0.002179	-0.1373	0.01415	0.1861	2	1200
	h[4]	-0.06001	0.08363	0.002045	-0.2601	-0.04727	0.06983	2	1200
	h[5]	0.009973	0.07371	0.002086	-0.1428	0.008522	0.1635	2	1200
	h[6]	-0.02363	0.08126	0.002645	-0.2023	-0.01646	0.1332	2	1200
	h[7]	0.06815	0.08337	0.002177	-0.06622	0.05699	0.2641	2	1200
	h[8]	0.03089	0.07943	0.002724	-0.1124	0.02358	0.2232	2	1200
	h[9]	-0.05991	0.07845	0.002036	-0.2406	-0.04696	0.0679	2	1200
	r[1]	0.01175	0.1114	0.003067	-0.2141	0.00815	0.2813	2	1200
	r[2]	1.588E-5	0.1144	0.003417	-0.2288	-0.002093	0.2721	2	1200
	r[3]	-0.007178	0.1091	0.002873	-0.2489	-0.004768	0.2223	2	1200
	r[4]	-6.291E-5	0.1141	0.003745	-0.2405	-8.919E-4	0.2851	2	1200
	r[5]	-0.02343	0.1105	0.002867	-0.2927	-0.01085	0.1933	2	1200
	r[6]	0.01123	0.1106	0.003257	-0.1919	0.001906	0.2604	2	1200
	r[7]	-0.004358	0.1055	0.003178	-0.227	-0.003649	0.2272	2	1200
	r[8]	0.009441	0.108	0.002993	-0.2134	0.004952	0.2567	2	1200
	r[9]	0.002974	0.1077	0.002993	-0.2102	0.002707	0.2481	2	1200
	r[10]	0.01048	0.1164	0.003534	-0.2209	0.00491	0.2687	2	1200
	r[11]	-0.007858	0.1095	0.003463	-0.2624	-0.003665	0.2071	2	1200
	r[12]	-0.005765	0.1111	0.003102	-0.2553	-4.777E-4	0.2262	2	1200
	r[13]	0.01243	0.1125	0.002914	-0.2006	0.007315	0.2511	2	1200
	r[14]	0.006212	0.1122	0.003362	-0.2088	0.002764	0.2562	2	1200
	r[15]	0.005619	0.1156	0.003713	-0.2364	0.002254	0.2535	2	1200
	r[16]	-0.002524	0.1113	0.003368	-0.2353	-0.004698	0.2439	2	1200
	r[17]	0.01713	0.1098	0.003233	-0.1909	0.01121	0.2622	2	1200
	r[18]	0.001839	0.1174	0.003839	-0.2356	0.001763	0.2525	2	1200
	r[19]	-0.0031	0.1008	0.003169	-0.2212	-0.00158	0.2124	2	1200
	r[20]	1.584E-4	0.1082	0.003104	-0.2197	2.917E-4	0.2454	2	1200
	r[21]	-9.569E-4	0.109	0.003283	-0.2478	-0.002501	0.2516	2	1200
	r[22]	-0.01295	0.1044	0.003172	-0.2499	-0.008233	0.1962	2	1200
	r[23]	-0.008519	0.1079	0.003407	-0.2368	-0.007733	0.228	2	1200
	r[24]	0.00479	0.1164	0.003712	-0.2486	0.001509	0.2736	2	1200
	r[25]	0.004466	0.1071	0.00306	-0.212	0.002714	0.2636	2	1200
	r[26]	2.81E-4	0.1059	0.003438	-0.2049	-0.004805	0.2495	2	1200
	r[27]	0.01372	0.1185	0.002882	-0.2035	0.007905	0.3077	2	1200
	r[28]	0.03477	0.1063	0.003545	-0.1561	0.02191	0.283	2	1200
	r[29]	0.03179	0.1176	0.003189	-0.1674	0.01599	0.3515	2	1200
	r[30]	0.003544	0.1091	0.003299	-0.2314	6.172E-4	0.2401	2	1200
	r[31]	0.02479	0.1154	0.003293	-0.189	0.01544	0.3263	2	1200
	r[32]	-0.005491	0.1108	0.003153	-0.2418	-0.001483	0.2212	2	1200
	r[33]	1.41E-4	0.1139	0.003369	-0.2456	-7.241E-4	0.2428	2	1200
	r[34]	0.01939	0.1033	0.003068	-0.1764	0.01266	0.2551	2	1200
	r[35]	0.01413	0.1095	0.003013	-0.202	0.008228	0.2611	2	1200
	r[36]	-0.01314	0.1094	0.003074	-0.2655	-0.008022	0.2082	2	1200
	r[37]	-0.003447	0.1026	0.002685	-0.2245	-0.005866	0.2139	2	1200
	r[38]	0.01319	0.1114	0.003531	-0.216	0.007492	0.2591	2	1200
	r[39]	0.004467	0.112	0.003306	-0.2302	0.002829	0.2384	2	1200
	r[40]	0.008111	0.1063	0.002745	-0.2135	0.005796	0.2447	2	1200
	r[41]	-0.02367	0.1091	0.003696	-0.2981	-0.0112	0.1705	2	1200
	r[42]	-0.0223	0.111	0.003569	-0.2837	-0.009031	0.1673	2	1200
	r[43]	-0.01732	0.1133	0.002953	-0.2875	-0.01099	0.2156	2	1200
