LAD12CD,LAD12CDO,LAD12NM,PCO12CD,PCO12CDO,PCO12NM
E07000132,31UE,Hinckley and Bosworth,E16000112,5PA,Leicestershire County and Rutland
E07000133,31UG,Melton,E16000112,5PA,Leicestershire County and Rutland
E07000134,31UH,North West Leicestershire,E16000112,5PA,Leicestershire County and Rutland
E07000135,31UJ,Oadby and Wigston,E16000112,5PA,Leicestershire County and Rutland
E07000136,32UB,Boston,E16000082,5N9,Lincolnshire Teaching
E07000137,32UC,East Lindsey,E16000082,5N9,Lincolnshire Teaching
E07000138,32UD,Lincoln,E16000082,5N9,Lincolnshire Teaching
E07000139,32UE,North Kesteven,E16000082,5N9,Lincolnshire Teaching
E07000140,32UF,South Holland,E16000082,5N9,Lincolnshire Teaching
E07000141,32UG,South Kesteven,E16000082,5N9,Lincolnshire Teaching
E07000142,32UH,West Lindsey,E16000082,5N9,Lincolnshire Teaching
E07000143,33UB,Breckland,E16000125,5PQ,Norfolk
E07000144,33UC,Broadland,E16000125,5PQ,Norfolk
E07000145,33UD,Great Yarmouth,E16000126,5PR,Great Yarmouth and Waveney
E07000146,33UE,King's Lynn and West Norfolk,E16000125,5PQ,Norfolk
E07000147,33UF,North Norfolk,E16000125,5PQ,Norfolk
E07000148,33UG,Norwich,E16000125,5PQ,Norfolk
E07000149,33UH,South Norfolk,E16000125,5PQ,Norfolk
E07000150,34UB,Corby,E16000114,5PD,Northamptonshire Teaching
E07000151,34UC,Daventry,E16000114,5PD,Northamptonshire Teaching
E07000152,34UD,East Northamptonshire,E16000114,5PD,Northamptonshire Teaching
E07000153,34UE,Kettering,E16000114,5PD,Northamptonshire Teaching
E07000154,34UF,Northampton,E16000114,5PD,Northamptonshire Teaching
E07000155,34UG,South Northamptonshire,E16000114,5PD,Northamptonshire Teaching
E07000156,34UH,Wellingborough,E16000114,5PD,Northamptonshire Teaching
E07000163,36UB,Craven,E16000099,5NV,North Yorkshire and York
E07000164,36UC,Hambleton,E16000099,5NV,North Yorkshire and York
E07000165,36UD,Harrogate,E16000099,5NV,North Yorkshire and York
E07000166,36UE,Richmondshire,E16000099,5NV,North Yorkshire and York
E07000167,36UF,Ryedale,E16000099,5NV,North Yorkshire and York
E07000168,36UG,Scarborough,E16000099,5NV,North Yorkshire and York
E07000169,36UH,Selby,E16000099,5NV,North Yorkshire and York
E07000170,37UB,Ashfield,E16000081,5N8,Nottinghamshire County Teaching
E07000171,37UC,Bassetlaw,E16000023,5ET,Bassetlaw
E07000172,37UD,Broxtowe,E16000081,5N8,Nottinghamshire County Teaching
E07000173,37UE,Gedling,E16000081,5N8,Nottinghamshire County Teaching
E07000174,37UF,Mansfield,E16000081,5N8,Nottinghamshire County Teaching
E07000175,37UG,Newark and Sherwood,E16000081,5N8,Nottinghamshire County Teaching
E07000176,37UJ,Rushcliffe,E16000081,5N8,Nottinghamshire County Teaching
