LA Name,age,WHITE,MIXED,ASIAN/ASIAN BRITISH,CHINESE,BLACK/BLACK BRITISH,OTHER
    E42000089 Inner London,75,"8,024",220,"1,229",134,"2,109",301
    E42000089 Inner London,76,"7,699",215,"1,141",152,"1,930",273
    E42000089 Inner London,77,"7,153",183,961,123,"1,634",231
    E42000089 Inner London,78,"7,121",196,873,125,"1,562",193
    E42000089 Inner London,79,"6,936",160,813,101,"1,340",199
    E42000089 Inner London,80,"6,903",158,790,90,"1,243",196
    E42000089 Inner London,81,"6,441",156,646,87,"1,153",153
    E42000089 Inner London,82,"5,901",138,474,67,918,147
    E42000089 Inner London,83,"5,338",102,431,56,764,93
    E42000089 Inner London,84,"4,921",119,336,58,688,99
    E42000089 Inner London,     85 - 89,"18,900",302,987,212,"1,963",314
    E42000089 Inner London,     90 - 94,"7,763",111,318,69,569,95
    E42000089 Inner London,     95 - 99,"2,124",39,66,20,138,44
    E42000089 Inner London,     100 and over,283,8,12,4,21,4
        E41000298 Camden,        E41000298 Camden,0,0,0,0,0,0
        E41000298 Camden,     Total: Age,"146,055","12,322","28,953","6,493","18,060","8,455"
        E41000298 Camden,0,"1,570",519,418,21,279,82
        E41000298 Camden,1,"1,524",375,438,18,314,92
        E41000298 Camden,2,"1,318",401,412,17,348,103
        E41000298 Camden,3,"1,258",365,425,24,380,99
        E41000298 Camden,4,"1,195",301,403,19,337,113
        E41000298 Camden,5,"1,126",285,405,22,334,91
        E41000298 Camden,6,"1,095",314,393,18,332,95
        E41000298 Camden,7,"1,045",319,408,22,390,87
        E41000298 Camden,8,"1,014",234,351,20,340,76
        E41000298 Camden,9,"1,044",209,373,15,377,64
        E41000298 Camden,10,985,264,362,24,392,70
        E41000298 Camden,11,984,218,381,23,295,62
        E41000298 Camden,12,887,207,347,21,307,57
        E41000298 Camden,13,896,271,307,17,302,60
        E41000298 Camden,14,838,249,321,18,354,75
        E41000298 Camden,15,892,209,311,12,303,78
        E41000298 Camden,16,825,203,289,21,351,74
        E41000298 Camden,17,891,162,297,22,289,116
        E41000298 Camden,18,"1,566",204,451,138,364,119
        E41000298 Camden,19,"2,395",278,770,474,270,149
        E41000298 Camden,20,"2,493",276,753,529,271,217
        E41000298 Camden,21,"2,149",258,716,549,298,201
        E41000298 Camden,22,"2,406",274,679,497,252,220
        E41000298 Camden,23,"2,694",271,661,337,297,218
        E41000298 Camden,24,"2,843",257,546,227,306,168
        E41000298 Camden,25,"3,322",274,632,165,263,207
        E41000298 Camden,26,"3,476",297,609,170,321,210
        E41000298 Camden,27,"3,615",247,712,154,225,175
        E41000298 Camden,28,"3,737",226,762,181,252,189
        E41000298 Camden,29,"3,827",268,863,180,193,171
        E41000298 Camden,30,"3,838",262,708,173,284,254
        E41000298 Camden,31,"3,591",223,756,252,303,257
        E41000298 Camden,32,"3,348",214,683,133,267,243
        E41000298 Camden,33,"2,958",187,689,153,219,230
        E41000298 Camden,34,"2,712",183,657,104,277,269
        E41000298 Camden,35,"2,781",182,666,93,312,173
        E41000298 Camden,36,"2,628",155,629,98,296,172
        E41000298 Camden,37,"2,528",131,607,102,291,132
        E41000298 Camden,38,"2,402",138,558,98,344,190
        E41000298 Camden,39,"2,372",144,483,55,270,139
        E41000298 Camden,40,"2,341",153,441,52,299,154
        E41000298 Camden,41,"2,159",123,421,61,308,157
        E41000298 Camden,42,"2,243",134,348,65,350,166
        E41000298 Camden,43,"2,060",111,395,46,295,138
        E41000298 Camden,44,"2,036",138,340,39,299,105
        E41000298 Camden,45,"1,980",117,281,44,311,106
        E41000298 Camden,46,"1,970",122,265,38,299,89
        E41000298 Camden,47,"1,859",89,265,48,341,110
        E41000298 Camden,48,"1,778",81,234,47,271,104
        E41000298 Camden,49,"1,677",94,248,53,224,99
        E41000298 Camden,50,"1,758",101,221,42,246,81
        E41000298 Camden,51,"1,638",68,220,32,189,66
        E41000298 Camden,52,"1,616",78,218,35,183,85
        E41000298 Camden,53,"1,634",60,190,50,133,83
        E41000298 Camden,54,"1,446",54,202,36,117,76
        E41000298 Camden,55,"1,554",48,166,39,148,64
        E41000298 Camden,56,"1,404",55,196,38,110,61
        E41000298 Camden,57,"1,413",44,204,31,123,60
        E41000298 Camden,58,"1,385",46,198,34,99,70
        E41000298 Camden,59,"1,386",43,171,33,84,55
        E41000298 Camden,60,"1,403",30,178,24,78,53
        E41000298 Camden,61,"1,434",45,202,24,71,41
        E41000298 Camden,62,"1,570",41,138,27,76,61
        E41000298 Camden,63,"1,590",28,135,27,72,44
        E41000298 Camden,64,"1,572",22,143,29,62,35
        E41000298 Camden,65,"1,310",26,110,21,75,50
        E41000298 Camden,66,"1,393",23,108,23,72,42
        E41000298 Camden,67,"1,254",21,115,16,50,25
        E41000298 Camden,68,"1,129",22,104,13,77,28
        E41000298 Camden,69,988,19,103,6,57,26
        E41000298 Camden,70,896,20,109,18,73,29
        E41000298 Camden,71,950,22,109,13,66,19
        E41000298 Camden,72,"1,001",11,112,9,65,30
        E41000298 Camden,73,857,11,84,12,54,21
        E41000298 Camden,74,857,18,85,11,44,25
        E41000298 Camden,75,776,14,111,16,59,14
        E41000298 Camden,76,775,17,87,15,56,18
        E41000298 Camden,77,702,11,56,14,52,15
        E41000298 Camden,78,691,9,59,11,50,21
        E41000298 Camden,79,671,9,48,10,38,17
        E41000298 Camden,80,726,6,68,11,34,21
        E41000298 Camden,81,644,16,46,13,22,15
        E41000298 Camden,82,591,8,44,13,17,19
        E41000298 Camden,83,503,10,39,3,16,13
        E41000298 Camden,84,490,13,19,2,20,13
        E41000298 Camden,     85 - 89,"1,869",20,58,24,53,24
        E41000298 Camden,     90 - 94,739,11,23,7,19,5
        E41000298 Camden,     95 - 99,242,5,5,2,4,4
        E41000298 Camden,     100 and over,27,1,0,0,0,1
"        E41000324 City of London,Westminster","        E41000324 City of London,Westminster",0,0,0,0,0,0
"        E41000324 City of London,Westminster",     Total: Age,"141,129","11,684","26,622","6,180","16,665","24,491"
"        E41000324 City of London,Westminster",0,"1,407",448,353,46,248,376
"        E41000324 City of London,Westminster",1,"1,308",428,337,30,248,393
"        E41000324 City of London,Westminster",2,"1,159",364,324,27,293,403
"        E41000324 City of London,Westminster",3,"1,036",291,345,26,328,398
"        E41000324 City of London,Westminster",4,983,316,296,17,250,375
"        E41000324 City of London,Westminster",5,890,228,339,14,300,441
"        E41000324 City of London,Westminster",6,872,253,251,28,288,339
"        E41000324 City of London,Westminster",7,831,224,312,16,225,337
"        E41000324 City of London,Westminster",8,826,218,275,23,248,328
"        E41000324 City of London,Westminster",9,725,201,277,23,221,355
"        E41000324 City of London,Westminster",10,784,190,247,17,257,355
"        E41000324 City of London,Westminster",11,775,189,241,19,248,347
"        E41000324 City of London,Westminster",12,739,173,257,20,234,331
"        E41000324 City of London,Westminster",13,714,190,257,32,228,311
"        E41000324 City of London,Westminster",14,696,171,226,17,264,305
"        E41000324 City of London,Westminster",15,677,163,244,18,209,298
"        E41000324 City of London,Westminster",16,664,152,219,25,236,336
"        E41000324 City of London,Westminster",17,764,195,259,33,239,324
"        E41000324 City of London,Westminster",18,"1,047",157,376,119,217,345
"        E41000324 City of London,Westminster",19,"1,387",168,503,224,236,360
"        E41000324 City of London,Westminster",20,"1,352",165,399,264,212,369
"        E41000324 City of London,Westminster",21,"1,542",213,465,262,245,417
"        E41000324 City of London,Westminster",22,"1,944",205,521,296,225,398
"        E41000324 City of London,Westminster",23,"2,402",203,539,225,288,368
"        E41000324 City of London,Westminster",24,"2,885",223,568,224,257,359
"        E41000324 City of London,Westminster",25,"3,300",298,575,217,311,483
"        E41000324 City of London,Westminster",26,"3,508",240,594,190,287,480
"        E41000324 City of London,Westminster",27,"3,664",293,662,202,321,539
"        E41000324 City of London,Westminster",28,"3,930",305,731,226,298,549
"        E41000324 City of London,Westminster",29,"4,145",293,754,224,277,558
"        E41000324 City of London,Westminster",30,"3,885",273,758,222,277,578
"        E41000324 City of London,Westminster",31,"3,723",292,759,205,272,645
"        E41000324 City of London,Westminster",32,"3,729",248,677,175,288,491
"        E41000324 City of London,Westminster",33,"3,292",208,658,182,278,519
"        E41000324 City of London,Westminster",34,"3,108",186,642,162,317,492
"        E41000324 City of London,Westminster",35,"2,798",170,608,127,255,529
"        E41000324 City of London,Westminster",36,"2,859",177,642,120,307,441
"        E41000324 City of London,Westminster",37,"2,601",214,594,122,263,503
"        E41000324 City of London,Westminster",38,"2,539",189,510,104,284,459
"        E41000324 City of London,Westminster",39,"2,438",142,494,96,249,441
"        E41000324 City of London,Westminster",40,"2,170",143,443,75,244,436
"        E41000324 City of London,Westminster",41,"2,208",161,450,59,295,408
"        E41000324 City of London,Westminster",42,"2,200",158,381,72,271,434
"        E41000324 City of London,Westminster",43,"2,179",130,362,64,279,400
"        E41000324 City of London,Westminster",44,"2,074",121,371,65,304,386
"        E41000324 City of London,Westminster",45,"1,904",130,303,58,310,366
"        E41000324 City of London,Westminster",46,"1,975",120,322,60,264,336
"        E41000324 City of London,Westminster",47,"1,953",119,263,54,268,318
"        E41000324 City of London,Westminster",48,"1,729",101,288,56,302,305
"        E41000324 City of London,Westminster",49,"1,773",82,295,43,231,262
"        E41000324 City of London,Westminster",50,"1,813",92,271,42,235,283
"        E41000324 City of London,Westminster",51,"1,651",101,241,50,207,259
"        E41000324 City of London,Westminster",52,"1,593",61,256,44,184,215
"        E41000324 City of London,Westminster",53,"1,519",56,237,66,155,207
"        E41000324 City of London,Westminster",54,"1,506",66,231,37,143,232
"        E41000324 City of London,Westminster",55,"1,589",47,237,50,166,201
"        E41000324 City of London,Westminster",56,"1,411",64,256,40,118,172
"        E41000324 City of London,Westminster",57,"1,464",50,212,40,108,160
"        E41000324 City of London,Westminster",58,"1,449",38,221,49,114,176
"        E41000324 City of London,Westminster",59,"1,474",45,210,34,111,168
"        E41000324 City of London,Westminster",60,"1,387",37,205,36,100,146
"        E41000324 City of London,Westminster",61,"1,449",35,184,29,90,152
"        E41000324 City of London,Westminster",62,"1,495",29,183,32,74,134
"        E41000324 City of London,Westminster",63,"1,518",36,143,37,77,154
"        E41000324 City of London,Westminster",64,"1,508",27,156,30,63,122
"        E41000324 City of London,Westminster",65,"1,326",31,136,29,78,114
"        E41000324 City of London,Westminster",66,"1,327",20,115,19,82,87
"        E41000324 City of London,Westminster",67,"1,201",23,113,21,69,85
"        E41000324 City of London,Westminster",68,"1,080",22,140,16,74,79
"        E41000324 City of London,Westminster",69,929,23,111,19,79,71
"        E41000324 City of London,Westminster",70,959,18,128,21,85,89
"        E41000324 City of London,Westminster",71,962,24,106,20,96,94
"        E41000324 City of London,Westminster",72,"1,024",25,119,22,86,68
"        E41000324 City of London,Westminster",73,878,18,112,13,89,72
"        E41000324 City of London,Westminster",74,855,21,107,9,90,65
"        E41000324 City of London,Westminster",75,892,23,98,12,60,70
"        E41000324 City of London,Westminster",76,781,18,83,25,67,73
"        E41000324 City of London,Westminster",77,733,14,83,16,68,50
"        E41000324 City of London,Westminster",78,762,13,69,14,53,53
"        E41000324 City of London,Westminster",79,673,9,37,11,56,55
"        E41000324 City of London,Westminster",80,660,8,51,7,48,52
"        E41000324 City of London,Westminster",81,612,10,43,13,49,35
"        E41000324 City of London,Westminster",82,628,12,39,5,31,32
"        E41000324 City of London,Westminster",83,593,7,23,12,28,15
"        E41000324 City of London,Westminster",84,470,11,27,7,20,19
"        E41000324 City of London,Westminster",     85 - 89,"1,864",18,50,24,93,68
"        E41000324 City of London,Westminster",     90 - 94,748,9,17,3,19,28
"        E41000324 City of London,Westminster",     95 - 99,231,2,4,1,4,8
"        E41000324 City of London,Westminster",     100 and over,22,0,2,0,0,2
        E41000303 Hackney,        E41000303 Hackney,0,0,0,0,0,0
        E41000303 Hackney,     Total: Age,"134,617","15,869","22,431","3,436","56,858","13,059"
        E41000303 Hackney,0,"2,068",516,384,33,947,274
        E41000303 Hackney,1,"1,923",443,351,26,922,283
        E41000303 Hackney,2,"1,708",414,360,39,982,266
        E41000303 Hackney,3,"1,593",417,388,37,889,249
        E41000303 Hackney,4,"1,519",399,396,35,"1,000",288
        E41000303 Hackney,5,"1,463",329,383,31,994,287
        E41000303 Hackney,6,"1,315",295,384,27,882,226
        E41000303 Hackney,7,"1,219",296,385,19,867,216
        E41000303 Hackney,8,"1,207",286,365,22,841,198
        E41000303 Hackney,9,"1,096",306,331,14,885,191
        E41000303 Hackney,10,"1,121",274,352,15,886,191
        E41000303 Hackney,11,"1,089",306,357,11,840,170
        E41000303 Hackney,12,"1,103",257,321,23,862,186
        E41000303 Hackney,13,"1,029",277,338,25,935,186
        E41000303 Hackney,14,"1,047",239,337,18,858,225
        E41000303 Hackney,15,"1,095",238,308,19,912,166
        E41000303 Hackney,16,922,256,359,18,927,201
        E41000303 Hackney,17,891,206,336,25,927,202
        E41000303 Hackney,18,994,225,357,53,917,176
        E41000303 Hackney,19,"1,112",234,323,65,772,174
        E41000303 Hackney,20,"1,370",260,362,108,880,217
        E41000303 Hackney,21,"1,626",317,409,103,891,258
        E41000303 Hackney,22,"2,181",261,410,146,897,234
        E41000303 Hackney,23,"2,817",359,438,122,977,272
        E41000303 Hackney,24,"3,590",371,454,133,977,245
        E41000303 Hackney,25,"4,075",396,485,118,870,269
        E41000303 Hackney,26,"4,501",430,472,124,864,302
        E41000303 Hackney,27,"4,763",427,534,90,837,292
        E41000303 Hackney,28,"4,857",400,551,123,883,264
        E41000303 Hackney,29,"4,778",410,522,114,828,259
        E41000303 Hackney,30,"4,810",374,530,131,887,268
        E41000303 Hackney,31,"4,366",382,576,136,827,325
        E41000303 Hackney,32,"4,025",299,546,94,828,286
        E41000303 Hackney,33,"3,477",365,459,72,792,251
        E41000303 Hackney,34,"3,184",268,429,95,759,236
        E41000303 Hackney,35,"2,814",234,407,85,881,174
        E41000303 Hackney,36,"2,841",250,383,65,842,210
        E41000303 Hackney,37,"2,385",213,450,67,758,209
        E41000303 Hackney,38,"2,341",254,415,45,850,222
        E41000303 Hackney,39,"2,264",248,345,45,797,241
        E41000303 Hackney,40,"2,002",187,302,41,918,201
        E41000303 Hackney,41,"1,903",174,316,29,951,179
        E41000303 Hackney,42,"1,708",173,275,43,"1,028",189
        E41000303 Hackney,43,"1,714",182,231,32,"1,040",170
        E41000303 Hackney,44,"1,751",174,229,29,"1,063",159
        E41000303 Hackney,45,"1,674",147,225,39,"1,009",143
