LA Name,age,WHITE,MIXED,ASIAN/ASIAN BRITISH,CHINESE,BLACK/BLACK BRITISH,OTHER,total
        E41000315 Merton,27,1375,98,335,54,150,38,2050
        E41000315 Merton,28,1448,86,340,50,138,31,2093
        E41000315 Merton,29,1496,74,363,49,152,54,2188
        E41000315 Merton,30,1536,97,404,52,147,38,2274
        E41000315 Merton,31,1503,91,388,56,172,38,2248
        E41000315 Merton,32,1398,80,365,40,174,40,2097
        E41000315 Merton,33,1300,64,347,34,153,44,1942
        E41000315 Merton,34,1237,65,343,40,167,37,1889
        E41000315 Merton,35,1106,56,331,26,152,49,1720
        E41000315 Merton,36,1117,63,289,35,172,35,1711
        E41000315 Merton,37,1070,56,327,32,151,38,1674
        E41000315 Merton,38,1083,54,304,27,198,47,1713
        E41000315 Merton,39,1057,54,297,30,183,28,1649
        E41000315 Merton,40,996,58,269,16,212,41,1592
        E41000315 Merton,41,974,51,280,22,176,29,1532
        E41000315 Merton,42,935,65,278,32,229,40,1579
        E41000315 Merton,43,984,62,251,27,225,34,1583
        E41000315 Merton,44,937,46,269,18,246,26,1542
        E41000315 Merton,45,910,47,247,25,246,31,1506
        E41000315 Merton,46,852,58,202,27,208,36,1383
        E41000315 Merton,47,935,57,214,26,223,28,1483
        E41000315 Merton,48,884,39,221,15,229,24,1412
        E41000315 Merton,49,895,32,213,15,191,15,1361
        E41000315 Merton,50,812,36,182,14,175,19,1238
        E41000315 Merton,51,772,18,175,23,187,19,1194
        E41000315 Merton,52,762,20,175,13,151,9,1130
        E41000315 Merton,53,745,17,163,11,159,15,1110
        E41000315 Merton,54,738,16,157,25,137,12,1085
        E41000315 Merton,55,750,28,153,19,114,17,1081
        E41000315 Merton,56,661,21,133,12,110,24,961
        E41000315 Merton,57,642,27,147,21,88,20,945
        E41000315 Merton,58,634,16,161,21,92,15,939
